society_id,society_name,society_xd_id,language_glottocode,language_name,language_family,variable_id,code,code_label,focal_year,sub_case,comment
Ab10,Pondo,xd11,mpon1252,Mpondo,Atlantic-Congo,EA001,0,0-5%,1936,,
Ab12,Zulu,xd13,zulu1248,Zulu,Atlantic-Congo,EA001,0,0-5%,1830,,
Ab13,Tswana,xd14,tswa1253,Tswana,Atlantic-Congo,EA001,0,0-5%,1880,with special reference to the Kgatla (Bakxatla),
Ab15,Pedi,xd16,tswe1238,Tswene,Atlantic-Congo,EA001,0,0-5%,1860,,
Ab17,Ndau,xd18,ndau1241,Ndau,Atlantic-Congo,EA001,0,0-5%,1920,,
Ab19,Ambo,xd20,ndon1254,Ndonga,Atlantic-Congo,EA001,0,0-5%,1910,with special reference to the Kuanyama,
Ab20,Ngumbi,xd22,nkhu1238,Nkhumbi,Atlantic-Congo,EA001,0,0-5%,1880,,
Ab21b,Bomvana,xd24,bomv1238,Bomvana,Atlantic-Congo,EA001,0,0-5%,1925,,
Ab22,Chopi,xd25,copi1238,Copi,Atlantic-Congo,EA001,0,0-5%,1920,,
Ab4,Tsonga,xd27,tson1249,Tsonga,Atlantic-Congo,EA001,0,0-5%,1920,,
Ab7,Nyaneka,xd30,nyan1305,Nyaneka,Atlantic-Congo,EA001,0,0-5%,1920,"Banianeka, Munyaneka, Ovanyaneka, Vanyaneka",
Ab9,Ndebele,xd32,nort2795,Zimbabwean Ndebele,Atlantic-Congo,EA001,0,0-5%,1870,,
Ac11,Luvale,xd35,luva1239,Luvale,Atlantic-Congo,EA001,0,0-5%,1930,,
Ac12,Chokwe,xd36,chok1245,Chokwe,Atlantic-Congo,EA001,0,0-5%,1920,,
Ac19,Teke,xd43,teke1278,Teke-Eboo-Nzikou,Atlantic-Congo,EA001,0,0-5%,1880,,
Ac20,Yaka,xd45,yaka1269,Yaka-Pelende-Lonzo,Atlantic-Congo,EA001,0,0-5%,1920,,
Ac21,Bunda,xd46,mpuo1241,Mbuun,Atlantic-Congo,EA001,0,0-5%,1910,,
Ac23,Lele,xd48,lele1265,Lele (Democratic Republic of Congo),Atlantic-Congo,EA001,0,0-5%,1950,with special reference to the western Lele,
Ac24,Sakata,xd49,saka1287,Sakata,Atlantic-Congo,EA001,0,0-5%,1910,,
Ac26,Yanzi,xd51,yans1239,Yansi,Atlantic-Congo,EA001,0,0-5%,1920,,
Ac27,Luchazi,xd52,luch1239,Luchazi,Atlantic-Congo,EA001,0,0-5%,1930,,
Ac28,Luimbe,xd53,luim1238,Luimbi,Atlantic-Congo,EA001,0,0-5%,1930,,
Ac29,Luwa,xd54,sond1250,Sonde,Atlantic-Congo,EA001,0,0-5%,1930,,
Ac30,Plateau Tonga,xd56,tong1318,Tonga (Zambia),Atlantic-Congo,EA001,0,0-5%,1940,,
Ac32,Kaonde,xd58,kaon1241,Kaonde,Atlantic-Congo,EA001,0,0-5%,1920,,
Ac33,Lala,xd59,lala1264,Lala-Bisa,Atlantic-Congo,EA001,0,0-5%,1940,,
Ac34,Luapula,xd60,luun1238,Luunda,Atlantic-Congo,EA001,0,0-5%,1940,,
Ac35,Shila,xd61,luba1250,Luba-Katanga,Atlantic-Congo,EA001,0,0-5%,1900,,
Ac36,Tumbuka,xd62,tumb1250,Tumbuka,Atlantic-Congo,EA001,0,0-5%,1920,,
Ac38,Nyanja,xd64,nucl1395,Nuclear Nyanja,Atlantic-Congo,EA001,0,0-5%,1910,,
Ac39,Nyasa,xd65,mwer1247,Mwera (Nyasa),Atlantic-Congo,EA001,0,0-5%,1920,,
Ac4,Kuba,xd66,bush1247,Bushoong,Atlantic-Congo,EA001,0,0-5%,1910,"with special reference to the Bushoong, the central subtribe",
Ac41,Makonde,xd68,mako1251,Makonde,Atlantic-Congo,EA001,0,0-5%,1900,,
Ac42,Makua,xd69,makh1264,Makhuwa,Atlantic-Congo,EA001,0,0-5%,1900,,
Ac43,Mambwe,xd70,mamb1296,Mambwe-Lungu,Atlantic-Congo,EA001,0,0-5%,1910,,
Ac5,Lamba,xd71,lamb1271,Lamba,Atlantic-Congo,EA001,0,0-5%,1920,,
Ac6,Ndembu,xd72,lund1266,Lunda,Atlantic-Congo,EA001,0,0-5%,1930,,
Ac7,Yao,xd73,yaoo1241,Yao,Atlantic-Congo,EA001,0,0-5%,1920,,
Ac8,Yombe,xd74,yomb1244,Yombe,Atlantic-Congo,EA001,0,0-5%,1930,,
Ac9,Ngoni,xd75,ngon1269,Ngoni,Atlantic-Congo,EA001,0,0-5%,1940,with special reference to the Mpezeni group of Fort Jameson,
Ad1,Bajuni,xd76,baju1245,Bajuni,Atlantic-Congo,EA001,0,0-5%,1950,,
Ad10,Shambaa,xd77,sham1280,Shambala,Atlantic-Congo,EA001,0,0-5%,1910,,
Ad11,Bena,xd78,bena1262,Bena (Tanzania),Atlantic-Congo,EA001,0,0-5%,1930,,
Ad12,Gusii,xd79,gusi1247,Gusii,Atlantic-Congo,EA001,0,0-5%,1940,,
Ad13,Kiga,xd80,chig1238,Chiga,Atlantic-Congo,EA001,0,0-5%,1930,,
Ad14,Luguru,xd81,lugu1238,Luguru,Atlantic-Congo,EA001,0,0-5%,1930,Morogoro District,
Ad15,Iwa,xd82,nyam1275,Nyamwanga,Atlantic-Congo,EA001,0,0-5%,1900,,
Ad16,Ngonde,xd83,ngon1268,Ngonde,Atlantic-Congo,EA001,0,0-5%,1920,,
Ad17,Safwa,xd84,safw1238,Safwa,Atlantic-Congo,EA001,0,0-5%,1920,,
Ad18,Bende,xd85,bend1258,Bende,Atlantic-Congo,EA001,0,0-5%,1910,,
Ad19,Fipa,xd86,fipa1238,Fipa,Atlantic-Congo,EA001,0,0-5%,1910,,
Ad2,Nyoro,xd87,nyor1246,Nyoro,Atlantic-Congo,EA001,0,0-5%,1950,,
Ad21,Pimbwe,xd89,pimb1238,Pimbwe,Atlantic-Congo,EA001,0,0-5%,1930,,
Ad22,Sukuma,xd90,suku1261,Sukuma,Atlantic-Congo,EA001,0,0-5%,1950,,
Ad23,Sangu,xd91,sang1330,Sangu (Tanzania),Atlantic-Congo,EA001,0,0-5%,1910,,
Ad24,Gogo,xd92,gogo1263,Gogo,Atlantic-Congo,EA001,0,0-5%,1910,,
Ad25,Rangi,xd93,lang1320,Langi,Atlantic-Congo,EA001,0,0-5%,1900,,
Ad26,Turu,xd94,nyat1246,Nyaturu,Atlantic-Congo,EA001,0,0-5%,1910,,
Ad27,Kwere,xd95,kwer1261,Kwere,Atlantic-Congo,EA001,0,0-5%,1880,,
Ad28,Zigula,xd96,zigu1242,Zigula,Atlantic-Congo,EA001,0,0-5%,1880,,
Ad29,Hadimu,xd97,pemb1239,Pemba,Atlantic-Congo,EA001,0,0-5%,1930,,
Ad3,Chagga,xd98,moch1256,Mochi,Atlantic-Congo,EA001,0,0-5%,1910,,
Ad30,Digo,xd99,digo1243,Digo,Atlantic-Congo,EA001,0,0-5%,1890,,
Ad31,Duruma,xd100,duru1249,Duruma,Atlantic-Congo,EA001,0,0-5%,1910,,
Ad32,Giriama,xd101,giry1241,Giryama,Atlantic-Congo,EA001,0,0-5%,1900,,
Ad33,Pokomo,xd102,poko1261,Pokomo,Atlantic-Congo,EA001,0,0-5%,1900,,
Ad34,Kamba,xd103,kamb1297,Kamba (Kenya),Atlantic-Congo,EA001,0,0-5%,1910,,
Ad35,Meru,xd104,kiku1240,Kikuyu,Atlantic-Congo,EA001,0,0-5%,1940,"To be distinguished from the tribe of the same name on the southeast slope f Mt. Mero, who are a branch of the Chagga",
Ad36,Pare,xd105,asut1235,Asu (Tanzania),Atlantic-Congo,EA001,0,0-5%,1890,,
Ad37,Teita,xd106,tait1250,Taita,Atlantic-Congo,EA001,0,0-5%,1940,,
Ad38,Kara,xd107,kara1481,Kara (Tanzania),Atlantic-Congo,EA001,0,0-5%,1910,,
Ad39,Sonjo,xd108,temi1247,Temi,Atlantic-Congo,EA001,0,0-5%,1950,,
Ad4,Kikuyu,xd109,kiku1240,Kikuyu,Atlantic-Congo,EA001,0,0-5%,1930,Fort Hall or Metume district,
Ad40,Tiriki,xd110,idak1243,Idakho-Isukha-Tiriki,Atlantic-Congo,EA001,0,0-5%,1950,,
Ad41,Vugusu,xd111,buku1249,Bukusu,Atlantic-Congo,EA001,0,0-5%,1930,,
Ad42,Haya,xd112,haya1250,Haya,Atlantic-Congo,EA001,0,0-5%,1900,,
Ad43,Kerewe,xd113,kere1283,Kerewe,Atlantic-Congo,EA001,0,0-5%,1900,,
Ad44,Konjo,xd114,konz1239,Konzo,Atlantic-Congo,EA001,0,0-5%,1920,,
Ad45,Nyankole,xd115,nyan1307,Nyankole,Atlantic-Congo,EA001,0,0-5%,1920,,
Ad46,Soga,xd116,soga1242,Soga,Atlantic-Congo,EA001,0,0-5%,1950,,
Ad47,Sumbwa,xd117,sumb1240,Sumbwa,Atlantic-Congo,EA001,0,0-5%,1900,,
Ad48,Toro,xd118,toor1238,Tooro,Atlantic-Congo,EA001,0,0-5%,1950,,
Ad49,Zinza,xd119,zinz1238,Zinza,Atlantic-Congo,EA001,0,0-5%,1950,,
Ad5,Mbugwe,xd120,mbug1242,Mbugwe,Atlantic-Congo,EA001,0,0-5%,1940,,
Ad50,Kaguru,xd121,kagu1239,Kagulu,Atlantic-Congo,EA001,0,0-5%,1900,with special reference to the Mountain Kaguru,
